tns_name,previous_name,repeater_name,ra,ra_err,ra_notes,dec,dec_err,dec_notes,gl,gb,exp_up,exp_up_err,exp_up_notes,exp_low,exp_low_err,exp_low_notes,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,flux_notes,fluence,fluence_err,fluence_notes,sub_num,mjd_400,mjd_400_err,mjd_inf,mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,excluded_flag,subw_upper_flag,scat_upper_flag,spec_z,spec_z_flag,E_obs,E_obs_error,subb_flag,subb_p_flag,common_p_flag,delta_nuo_FRB,z_DM,z_DM_error_p,z_DM_error_m,E_obs_400,E_obs_400_error_p,E_obs_400_error_m,logsubw_int_rest,logsubw_int_rest_error_p,logsubw_int_rest_error_m,z,z_error_p,z_error_m,logE_rest_400,logE_rest_400_error_p,logE_rest_400_error_m,logrhoA,logrhoA_error_p,logrhoA_error_m,logrhoB,logrhoB_error_p,logrhoB_error_m,weight_DM,weight_DM_error_p,weight_DM_error_m,weight_scat,weight_scat_error_p,weight_scat_error_m,weight_w_int,weight_w_int_error_p,weight_w_int_error_m,weight_fluence,weight_fluence_error_p,weight_fluence_error_m,weight,weight_error_p,weight_error_m,weighted_logrhoA,weighted_logrhoA_error_p,weighted_logrhoA_error_m,weighted_logrhoB,weighted_logrhoB_error_p,weighted_logrhoB_error_m
FRB20180814B,180814.J1554+74,-9999,238.26,0.04,-9999,74.0,0.4,-9999,108.6,37.62,40.0,20.0,-9999,30.0,20.0,-9999,18.7,237.8,2.4,0.3,3.9,0.5,24.4,238.347,0.003,197.2,203.8,0.0059,0.00088,-9999,3.0,3.0,-9999,11.0,8.0,-9999,0,58344.597418957,3e-09,58344.597347485,3e-09,0.00076,6e-05,0.0,1.0,1.0,1.0,800.2,400.2,800.2,366744.692,363573,0.416,1,0,1,-9999.0,0,4400000000.0,3200000000.0,1,1,1,400.00000000000006,0.19615280173493949,0.08901125343079436,0.09093807691258046,3745559477.6541076,2667113371.2657847,2725762229.066168,-0.19622003447581005,0.045828723316649556,0.04738543964402869,0.19615280173493949,0.08901125343079436,0.09093807691258046,39.51484617631601,0.42775425984627446,0.6691116287510255,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180814B,180814.J1554+74,-9999,238.26,0.04,-9999,74.0,0.4,-9999,108.6,37.62,40.0,20.0,-9999,30.0,20.0,-9999,18.7,237.8,2.4,0.3,3.9,0.5,24.4,238.347,0.003,197.2,203.8,0.0059,0.00088,-9999,3.0,3.0,-9999,11.0,8.0,-9999,1,58344.597418991,3e-09,58344.597347519,3e-09,0.0008,0.0002,0.0,2.0,0.0,3.0,800.2,400.2,800.2,366744.692,363573,0.416,1,0,1,-9999.0,0,4400000000.0,3200000000.0,1,1,0,400.00000000000006,0.1960906670951591,0.0899123334514394,0.08859792500145107,3617627121.65259,2758620150.5539455,2663524609.2503333,-0.17708404388937438,0.10363340665968207,0.12888016717781897,0.1960906670951591,0.0899123334514394,0.08859792500145107,39.50505450030879,0.4343081362627217,0.6637492048433629,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180814A,180814.J0422+73,FRB20180814A,65.5,0.2,-9999,73.6,0.3,-9999,136.46,16.58,40.0,20.0,-9999,44.0,8.0,-9999,11,190.9,21.8,2.5,36.3,4.3,22.1,189.29,0.08,101.5,80.9,0.00786,0.0031,-9999,0.4,0.3,-9999,3.0,1.0,-9999,0,58344.617939757,7e-09,58344.617883,2e-08,0.0025,0.0003,43.0,6.0,-140.0,20.0,527.0,408.9,464.2,377384.635,376346,0.396,1,0,1,-9999.0,0,1200000000.0,400000000.0,0,1,1,118.10000000000002,0.06375418636669114,0.054682381329284366,0.04114442873543669,1194951192.0770087,399706094.20987535,401008958.6706102,0.3689542572792601,0.05332391538328701,0.06075825826070541,0.06375418636669114,0.054682381329284366,0.04114442873543669,38.03383123179006,0.5823524822011379,0.922983519104406,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180817A,180817.J1533+42,-9999,233.2,0.05,-9999,42.2,0.2,-9999,68.3,53.98,23.0,3.0,-9999,-9999,-9999,-9999,45.6,1002.8,0,6.2,0,11.1,65.1,1006.771,0.008,979.1,982.0,0.01769,0.011,0.0006,2.0,2.0,-9999,30.0,20.0,-9999,0,58347.07608796,3e-09,58347.075786065,4e-09,0.0019,0.0002,3.4,0.4,-7.5,0.6,800.2,400.2,501.1,1069085.403,1057913,0.434,1,0,0,-9999.0,0,12000000000.0,8000000000.0,0,1,1,400.00000000000006,1.042191051046939,0.2234409275165572,0.2281682079033982,5887560633.320975,4023158389.852626,3960452405.1050863,-0.030939005849440315,0.06761327508077844,0.06634507716075679,1.042191051046939,0.2234409275165572,0.2281682079033982,41.235670856497464,0.26021850945008396,0.3747659489276458,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB20180904A,-9999,-9999,286.6,0.2,-9999,81.2,0.1,-9999,113.16,26.22,90.0,40.0,-9999,70.0,40.0,-9999,40.8,360.7,1.0,1.8,2.2,3.7,74.6,361.1374,0.0008,305.7,308.4,0.00197,0.00055,-9999,4.0,2.0,-9999,6.0,3.0,-9999,0,58365.6713215157,5e-10,58365.6712132233,6e-10,0.00053,1e-05,12.1,0.6,-23.0,1.0,712.3,400.2,519.7,155378.697,143482,0.539,0,0,1,-9999.0,0,2400000000.0,1200000000.0,0,1,1,312.09999999999997,0.313444498485379,0.12799645202472587,0.12626313722976584,2274677763.4830165,1153333117.6280813,1136433220.3165386,-0.3946862594241449,0.04498441857547181,0.04100871299644154,0.313444498485379,0.12799645202472587,0.12626313722976584,39.727192472272684,0.3578972499846884,0.5557733422087878,1.942188443303769,0.3654504853043741,0.7310031391016019,1.6423869743094253,0.6111875308501822,0.20498958185847083,0.005710636260321126,3.3015194764831876e-09,3.449009770080826e-09,0.0035889747919068257,0.0,0.0,0.004236702897793148,1.5653842147937907e-05,1.6045707876786233e-05,0.005729565107639741,0.004970210189394616,0.0012055642500482361,1.0118612350959448,0.876024644188262,0.21360042740154522,1.8793582757185843,0.7069700832645065,0.6804434036190852,1.6972276878395653,0.826617614655399,0.24624657998316546
FRB20180906A,-9999,-9999,141.5,0.3,-9999,14.3,0.3,-9999,217.17,40.61,11.0,7.0,-9999,-9999,-9999,-9999,10.5,383.3,0,3.3,0,6.4,10.9,383.46,0.01,340.0,346.5,0.00098,0.0017,-9999,2.0,1.0,-9999,3.0,1.0,-9999,0,58367.767931021,7e-09,58367.767816036,8e-09,0.0013,0.0002,0.0,3.0,1.0,3.0,800.2,400.2,800.2,320313.543,304602,0.511,0,0,1,-9999.0,0,1200000000.0,400000000.0,0,1,1,400.00000000000006,0.3587331518991694,0.13643708243842428,0.14010853968343612,884536548.085102,323684012.67458856,303228025.19020236,-0.017773622970413072,0.07523738664622082,0.08394682138195084,0.3587331518991694,0.13643708243842428,0.14010853968343612,39.44722693172875,0.29725216828692425,0.4420788835353733,2.1296368451441277,0.5601851273339782,0.48020407573127977,2.0510103579363426,0.5162611841510998,0.3207890341845907,,,,,,,,,,,,,,,,,,,,,
FRB20180906B,-9999,-9999,185.8,0.2,-9999,56.4,0.2,-9999,130.87,60.27,20.0,10.0,-9999,-9999,-9999,-9999,10.7,3037.7,0,1.7,0,3.5,17.9,3038.06,0.02,3006.7,3015.4,0.0059,0.005,0.001,0.4,0.2,-9999,1.5,0.9,-9999,0,58367.887947305,9e-09,58367.8870363,1e-08,0.0029,-9999,3.0,1.0,-11.0,3.0,709.1,400.2,449.3,350696.512,350201,0.438,0,1,0,-9999.0,0,600000000.0,360000000.0,0,1,1,308.90000000000003,3.3450309244202856,0.4242949589256808,0.406393126325741,178908177.84501094,113508646.7000038,106695548.49237718,-0.09753352942759497,0.2502460083143778,0.4288188520659253,3.3450309244202856,0.4242949589256808,0.406393126325741,40.65022216226418,0.19834321719763182,0.3315177122971278,0.5424187343862183,0.27696005206802843,0.19413245626288922,0.47248044146573576,0.23152805238404173,0.17236894140491776,,,,,,,,,,,,,,,,,,,,,
FRB20180907D,-9999,-9999,329.0,0.3,-9999,89.2,0.3,-9999,122.33,26.57,1100.0,300.0,-9999,900.0,400.0,-9999,12.3,1444.4,5.1,3.5,10.2,6.8,13.8,1447.1,0.01,1391.1,1393.4,0.0059,0.0027,-9999,0.9,0.6,-9999,5.0,2.0,-9999,0,58368.254154255,6e-09,58368.253720321,7e-09,0.0022,0.0002,3.0,3.0,0.0,3.0,800.2,400.2,800.2,339735.417,347770,0.441,0,0,1,-9999.0,0,2000000000.0,800000000.0,0,1,1,400.00000000000006,1.4874940211684864,0.2680329728458717,0.25774438636182806,806607352.9632006,340833913.2745893,321566209.7228889,-0.054268704689720115,0.06075173862030515,0.05788636851433701,1.4874940211684864,0.2680329728458717,0.25774438636182806,40.665345961422844,0.17600681383044048,0.23759213681552893,0.8691071579178206,0.3002076405452133,0.15346872758229946,0.8036654165007067,0.27580816693670673,0.18080628594922943,0.005225646218680072,4.47721448966505e-09,4.577285284365634e-09,0.005266619896913836,0.0,0.0,0.0061253773673562335,0.0001867172983794889,0.00018784864540196213,0.006621704290046074,0.004415256532080839,0.0014222454499213868,2.2669833031838076,1.5173507732257785,0.48899274464048936,1.2359232892641505,0.35921308338974534,0.21057930273190428,1.1552383540487174,0.40778298108596944,0.21569646284252886
FRB20180907A,-9999,-9999,320.9,0.2,-9999,29.5,0.2,-9999,77.77,-14.65,12.0,7.0,-9999,-9999,-9999,-9999,15.3,875.1,0,1.3,0,3.4,25.4,877.24,0.01,785.2,801.8,0.0059,0.00026,4e-05,0.9,0.6,-9999,3.0,1.0,-9999,0,58368.261003504,3e-09,58368.260740451,5e-09,0.0009,0.0001,-2.0,1.0,-5.0,2.0,648.6,400.2,400.2,343339.826,342297,0.45,0,0,0,-9999.0,0,1200000000.0,400000000.0,0,1,1,248.40000000000003,0.8523246447721283,0.20572405140995198,0.20586775727138917,1035128161.9660279,375027339.9192327,349835774.4937732,-0.3129125820333738,0.06902793681883254,0.06853519033256372,0.8523246447721283,0.20572405140995198,0.20586775727138917,40.299020631694624,0.20265240540617668,0.272317446695844,1.276406232250456,0.4647466377263536,0.328145503129181,1.1380595577412558,0.4282146219975975,0.2504679063745484,,,,,,,,,,,,,,,,,,,,,
FRB20180907B,-9999,-9999,4.5,0.2,-9999,19.2,0.2,-9999,112.1,-43.0,13.0,7.0,-9999,-9999,-9999,-9999,15.4,658.3,0,2.0,0,3.8,19.3,658.19,0.005,620.1,628.3,0.00295,0.0011,0.0002,1.1,0.7,-9999,3.0,2.0,-9999,0,58368.3820747,5e-09,58368.381877332,5e-09,0.0002,0.0002,-1.0,1.0,-5.0,2.0,751.4,400.2,400.2,316182.424,315545,0.493,0,0,0,-9999.0,0,1200000000.0,800000000.0,0,1,1,351.2,0.672532142080283,0.1851613111389967,0.19199168421614066,818921350.8216183,552236106.1820958,559741807.6837028,-0.8413968591050804,0.2531324923733176,0.424959024933909,0.672532142080283,0.1851613111389967,0.19199168421614066,39.98515200195822,0.29882226905969134,0.43251079774844214,1.2883585822513233,0.5463759446197658,0.24807002478377993,1.2321626005757769,0.5671710284427927,0.3502106094459071,,,,,,,,,,,,,,,,,,,,,
