tns_name,classification,group,embedding_x,embedding_y
FRB20181118A,0,repeater_cluster_1,0.607181966,9.567245483
FRB20181118B,-1,other_cluster_6,8.199416161,7.952073574
FRB20181118C,1,repeater_cluster_3,-1.681916833,-1.485317588
FRB20181119B,-1,other_cluster_6,8.529602051,7.555540562
FRB20181119E,-1,other_cluster_6,13.0396328,8.102007866
FRB20181119D,1,repeater_cluster_1,-2.225213528,9.881705284
FRB20181119D,1,repeater_cluster_1,-2.225444317,8.969661713
FRB20181119D,1,repeater_cluster_1,-2.416285276,8.015585899
FRB20181119A,1,repeater_cluster_3,-1.435639739,-1.630540133
FRB20181119C,-1,other_cluster_3,8.230006218,-1.053953767
FRB20181120B,1,repeater_cluster_1,-1.224246621,9.768547058
FRB20181120C,1,repeater_cluster_1,-2.950060606,10.23663044
FRB20181122A,-1,other_cluster_3,8.344995499,-0.960121691
FRB20181122B,-1,other_cluster_5,12.01857281,4.680470467
FRB20181123A,0,repeater_cluster_2,2.198962688,0.534048498
FRB20181124B,-1,other_cluster_1,-0.799488485,14.0731535
FRB20181124A,0,repeater_cluster_1,0.036829919,11.09577656
FRB20181125A,0,repeater_cluster_3,1.407258034,-1.945840001
FRB20181125A,0,repeater_cluster_3,1.716673255,-1.742238164
FRB20181125A,0,repeater_cluster_3,0.89601171,-2.68550539
FRB20181126A,0,repeater_cluster_3,-0.126751512,-2.501729012
FRB20181127A,0,repeater_cluster_2,1.999203801,0.223781094
FRB20181128A,1,repeater_cluster_1,-2.280295372,8.628881454
FRB20181128A,1,repeater_cluster_2,2.18276453,0.110619321
FRB20181128B,-1,other_cluster_3,8.343226433,-1.000778913
FRB20181128D,-1,other_cluster_2,16.63914108,12.20224285
FRB20181128C,0,repeater_cluster_2,1.548140764,0.417364955
FRB20181128C,0,repeater_cluster_2,2.135228395,0.382956237
FRB20181129A,-1,other_cluster_6,9.380019188,7.635176182
FRB20181129B,0,repeater_cluster_3,-2.311135054,-0.991853714
FRB20181129C,-1,other_cluster_6,7.352474213,7.754681587
