FRB20180910A,0.6598965683333333
FRB20181226F,0.9345241916666667
FRB20190430C,2.5660691066666668
FRB20190226B,3.2594709083333333
FRB20190915D,2.4997014733333334
FRB20190609C,4.656821688333333
FRB20191114A,1.610912325
FRB20200809E,0.33234807
FRB20200926A,0.5256427616666667
FRB20190804E,5.599786913333333
FRB20200619A,1.6035635366666667
FRB20201221B,1.65521309
FRB20191106C,6.038257791666667
FRB20201130A,7.804482476666666
FRB20200929C,9.293163675
FRB20200223B,16.647684383333335
FRB20190110C,31.178424013333334
