eventname,datetime
FRB20180916B,2021-01-29 01:11:05.295124
FRB20180916B,2021-01-29 01:25:15.325877
FRB20180916B,2021-03-02 23:15:02.000983
FRB20180916B,2021-03-02 23:28:27.385996
FRB20180916B,2021-03-03 23:06:06.046594
FRB20180916B,2021-07-11 14:32:49.259253
FRB20180916B,2021-08-14 12:10:27.199523
FRB20180916B,2021-08-14 12:22:49.261030
FRB20180916B,2021-09-30 09:10:17.121574
FRB20180916B,2021-09-30 09:32:38.522910
FRB20180916B,2021-11-01 07:17:54.613657
FRB20180916B,2021-11-01 07:18:45.857564
FRB20180916B,2021-11-01 07:25:05.059348
FRB20180916B,2022-07-05 15:10:16.008995
FRB20180916B,2022-07-05 15:11:56.971138
FRB20180916B,2022-11-15 06:12:00.003555
FRB20180916B,2022-11-15 06:12:36.336714
FRB20180916B,2023-05-10 18:41:53.217282
FRB20180916B,2023-05-10 18:46:57.346268
FRB20181017A,2018-10-17 23:26:11.8600
FRB20181017A,2019-02-16 15:26:58.029
FRB20181030A,2020-01-22 10:20:32.574499
FRB20181030A,2018-10-30 04:13:13.0255
FRB20181030A,2018-10-30 04:16:21.6546
FRB20181030A,2020-01-22 10:27:00.442762
FRB20181030A,2020-01-22 10:28:20.297065
FRB20181030A,2020-01-22 22:09:30.870123
FRB20181030A,2020-01-22 22:09:52.402631
FRB20181030A,2020-01-22 22:22:21.384739
FRB20181030A,2020-01-22 22:23:20.335682
FRB20181119A,2018-11-19 16:49:03.1914
FRB20181119A,2019-01-03 13:47:23.3225
FRB20181119A,2019-03-13 09:21:46.7250
FRB20181119A,2019-09-26 20:19:28.747694
FRB20181119A,2019-12-02 15:44:29.327498
FRB20181119A,2019-12-05 15:44:15.105858
FRB20181119A,2020-06-21 02:39:02.417397
FRB20181119A,2020-12-04 15:49:20.254679
FRB20181119A,2021-06-14 03:18:05.987051
FRB20181119A,2021-06-24 02:31:25.191644
FRB20181119A,2021-11-11 17:17:31.304059
FRB20181119A,2022-02-13 11:00:19.725714
FRB20181119A,2023-04-23 06:37:10.397693
