start,end,phase,description
2022-10-17, 2022-12-31, '1', Distribution Study
2022-12-01, 2023-02-28, '2', FRB Selection
2023-02-01, 2023-07-30, '3', Feature Study
2023-07-01, 2023-10-30, '4', Thesis Writing
