,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
111,FRB20180904A,4/9/2018 16:06,58365.67132,CHIME,06:19.2,+81:13:12,113.08,26.44,519.7,360.7,4,1.97,6,40.8,https://www.chime-frb.ca/catalog/FRB20180904A,0.3357,-,10.2,7.2,1.62,,,712.3,400.2
112,FRB20180906A,6/9/2018 18:25,58367.76793,CHIME,25:55.2,+14:17:24,217.2,40.65,800.2,383.3,2,0.98,3,10.5,https://www.chime-frb.ca/catalog/FRB20180906A,0.3727,-,15,18,1.62,,,800.2,400.2
113,FRB20180906B,6/9/2018 21:18,58367.88795,CHIME,23:00.0,+56:25:12,130.89,60.27,449.3,3037.7,0.4,5.9,1.5,10.7,https://www.chime-frb.ca/catalog/FRB20180906B,2.8212,-,13.8,14.4,3.23,,,709.1,400.2
114,FRB20180907A,7/9/2018 6:15,58368.261,CHIME,23:28.8,+29:27:36,77.79,-14.67,400.2,875.1,0.9,5.9,3,15.3,https://www.chime-frb.ca/catalog/FRB20180907A,0.7863,-,13.8,13.2,1.62,,,648.6,400.2
115,FRB20180907B,7/9/2018 9:10,58368.38207,CHIME,17:57.6,+19:10:12,112.15,-42.99,400.2,658.3,1.1,2.95,3,15.4,https://www.chime-frb.ca/catalog/FRB20180907B,0.6318,-,13.2,14.4,1.62,,,751.4,400.2
116,FRB20180907C,7/9/2018 11:48,58368.49178,CHIME,46:52.8,+77:04:12,129.35,15.65,670,638.9,1.1,1.97,1.5,11.3,https://www.chime-frb.ca/catalog/FRB20180907C,0.537,-,13.8,15.6,1.62,,,800.2,400.2
117,FRB20180907D,7/9/2018 6:05,58368.25415,CHIME,55:48.0,+89:13:12,122.28,26.64,800.2,1444.4,0.9,5.9,5,12.3,https://www.chime-frb.ca/catalog/FRB20180907D,1.3324,-,17.4,18.6,1.62,,,800.2,400.2
118,FRB20180907E,7/9/2018 20:01,58368.83418,CHIME,11:31.2,+47:05:24,160.73,62.03,400.2,381.7,0.7,11.8,7,12.2,https://www.chime-frb.ca/catalog/FRB20180907E,0.3869,-,14.4,13.8,6.47,,,536.3,400.2
119,FRB20180908A,8/9/2018 21:13,58369.88407,CHIME,32:52.8,+74:11:24,124.78,42.84,584.1,197.3,1.2,7.86,5,11.3,https://www.chime-frb.ca/catalog/FRB20180908B,0.1954,-,16.8,18.6,3.23,,,,
120,FRB20180908B,8/9/2018 21:13,58369.88407,CHIME,31:31.2,+74:13:12.00,124.78,42.84,600,197.33,-,-,-,11.28,https://www.wis-tns.org/object/20180908b,0.1954,-,22,23,3.23,,,698.5,488.3
121,FRB20180909A,9/9/2018 16:56,58370.70598,CHIME,14:31.2,+56:45:36,160.94,33.66,400.2,407.6,0.3,19.66,1,11,https://www.chime-frb.ca/catalog/FRB20180909A,0.3886,-,15,14.4,6.47,,,800.2,400.2
122,FRB20180910A,10/9/2018 8:06,58371.33758,CHIME,31:04.8,+88:12:36,122.21,25.47,417.6,684.2,7,0.98,6,36.6,https://www.chime-frb.ca/catalog/FRB20180910A,0.6309,-,10.8,12.6,1.62,,,800.2,400.2
123,FRB20180911A,11/9/2018 15:00,58372.62525,CHIME,38:12.0,+84:37:12,128.89,26.64,400.2,221.6,2,1.97,3,17.5,https://www.chime-frb.ca/catalog/FRB20180911A,0.1957,-,12,4.2,1.62,,,599.9,400.2
124,FRB20180911C,11/9/2018 12:59,58372.54116,CHIME,22:09.6,+73:37:48,136.36,16.51,599,190.9,1,6.88,6,10.5,https://www.chime-frb.ca/catalog/FRB20180911C,0.1035,-,11.4,16.2,3.23,,,701.3,511.7
125,FRB20180915A,15/9/2018 3:03,58376.12761,CHIME,42:12.0,+17:54:36,48.02,10,571.9,370.4,2,4.92,6,13.4,https://www.chime-frb.ca/catalog/FRB20180915A,0.2537,-,13.8,15,1.62,,,800.2,400.2
126,FRB20180915B,15/9/2018 23:24,58376.97538,CHIME,00:55.2,+25:01:12,39.41,35.81,400.2,176.3,1,4.92,4,12.5,https://www.chime-frb.ca/catalog/FRB20180915B,0.1678,-,15,13.8,1.62,,,527.4,400.2
127,FRB20180916A,16/9/2018 7:33,58377.31474,CHIME,15:52.8,+80:19:48,118.72,18.08,464.7,296,2,0.98,4,21.4,https://www.chime-frb.ca/catalog/FRB20180916A,0.2356,-,10.8,3.66,1.62,,,793.2,400.2
128,FRB20180916B,16/9/2018 10:15,58377.42731,CHIME,58:00.8,+65:43:00.315,129.57,3.71,603.9,347.8,1.8,3.93,6,18.7,https://www.chime-frb.ca/catalog/FRB20180916B,0.0298,-,-,-,1.62,,,723.3,504.1
129,FRB20180916C,16/9/2018 15:26,58377.6433,CHIME,08:36.0,+45:04:48,172.21,21.71,640.9,2248.3,0.4,9.83,2,11.1,https://www.chime-frb.ca/catalog/FRB20180916C,2.1071,-,13.8,14.4,3.23,,,794.6,516.9
130,FRB20180917A,17/9/2018 0:46,58378.03239,CHIME,22:09.6,+73:37:48,136.55,16.64,800.2,194.1,3,60.95,50,19,https://www.chime-frb.ca/catalog/FRB20180917A,0.1083,-,11.4,16.2,12.94,,,800.2,658.6
131,FRB20180917A,17/9/2018 0:46,58378.03239,CHIME,22:09.6,+73:37:48,136.55,16.64,800.2,194.1,3,60.95,50,19,https://www.chime-frb.ca/catalog/FRB20180917A,0.1083,-,11.4,16.2,12.94,,,800.2,561.8
132,FRB20180917A,17/9/2018 0:46,58378.03239,CHIME,22:09.6,+73:37:48,136.55,16.64,800.2,194.1,3,60.95,50,19,https://www.chime-frb.ca/catalog/FRB20180917A,0.1083,-,11.4,16.2,12.94,,,770.5,531.1
133,FRB20180917B,17/9/2018 0:08,58378.0062,CHIME,55:12.0,+77:31:48,111.9,35.45,456.2,860.5,1,19.66,8,16.5,https://www.chime-frb.ca/catalog/FRB20180917B,0.8082,-,11.4,6,6.47,,,765,400.2
134,FRB20180918A,18/9/2018 4:11,58379.17462,CHIME,05:04.8,+64:57:36,97.9,17.06,617.6,1454.1,1.4,2.95,4,14,https://www.chime-frb.ca/catalog/FRB20180918A,1.3104,-,13.2,12,1.62,,,800.2,419.8
135,FRB20180919A,19/9/2018 12:36,58380.52514,CHIME,22:09.6,+73:37:48,136.49,16.65,432.6,190.9,0.6,21.63,3,13.4,https://www.chime-frb.ca/catalog/FRB20180919A,0.1048,-,11.4,16.2,3.23,,,484.6,400.2
136,FRB20180919B,19/9/2018 8:29,58380.35376,CHIME,21:21.6,+05:56:24,109.3,-56.21,487.6,558,2.6,0.98,3,16.1,https://www.chime-frb.ca/catalog/FRB20180919B,0.5463,-,11.4,5.22,1.62,,,768.9,400.2
137,FRB20180920A,20/9/2018 13:19,58381.55529,CHIME,15:33.6,+28:17:24,176.93,-5.85,585.9,562.9,0.9,14.75,8,13.5,https://www.chime-frb.ca/catalog/FRB20180920A,0.3584,-,12.6,13.8,6.47,,,787.4,435.9
138,FRB20180920B,20/9/2018 20:41,58381.86208,CHIME,44:21.6,+63:31:12,124.21,53.59,421.1,459.4,0.4,10.81,1.7,10.5,https://www.chime-frb.ca/catalog/FRB20180920B,0.4547,-,13.8,14.4,6.47,,,483.4,400.2
139,FRB20180921A,21/9/2018 9:54,58382.41253,CHIME,55:40.8,+05:02:60,151.01,-54.29,419.9,393.1,0.9,3.93,2,10.3,https://www.chime-frb.ca/catalog/FRB20180921A,0.3921,-,13.2,19.2,1.62,,,672.2,400.2
140,FRB20180922A,22/9/2018 6:38,58383.27679,CHIME,49:09.6,+69:40:12,112.63,9.45,400.2,562.9,3,2.95,8,24.5,https://www.chime-frb.ca/catalog/FRB20180922A,0.3712,-,12,3.54,1.62,,,555.9,400.2
141,FRB20180923A,23/9/2018 5:42,58384.23809,CHIME,50:26.4,+71:55:12,91.84,28.99,468.9,218.4,0.8,1.97,1.2,16.1,https://www.chime-frb.ca/catalog/FRB20180923A,0.2038,-,2.28,12,1.62,,,572.9,400.2
142,FRB20180923B,23/9/2018 4:03,58384.16919,Parkes,10:55.4,-14:06:10.20,346.66,36.66,1352,548,-,20,2.9,13,https://www.wis-tns.org/object/20180923b,0.5234,-,7.5,7.5,3,,,,
143,FRB20180923C,23/9/2018 23:47,58384.99126,CHIME,56:33.6,+22:51:00,42.19,21.24,420.5,173.1,0.9,1.97,1.4,15,https://www.chime-frb.ca/catalog/FRB20180923C,0.1352,-,2.28,12.6,1.62,,,675.6,400.2
144,FRB20180923D,23/9/2018 19:06,58384.79643,CHIME,16:19.2,+48:45:00,156.87,61.58,448,328.4,2,0.98,2,48.1,https://www.chime-frb.ca/catalog/FRB20180923D,0.3347,-,1.2,4.2,1.62,,,524.4,400.2
145,FRB20180924A,24/9/2018 10:08,58385.42276,CHIME,21:50.4,+37:31:12,142.13,-21.95,770.6,1114.5,1.3,2.95,3,18.2,https://www.chime-frb.ca/catalog/FRB20180924A,1.0105,-,11.4,11.4,1.62,,,800.2,400.2
146,FRB20180924B,24/9/2018 16:23,58385.68279,ASKAP,44:25.3,-40:54:00.10,0.74,-49.41,1320,361.42,12.3,1.3,16,194,https://www.wis-tns.org/object/20180924b,0.3603,0.3214,-,-,0.06,,,,
147,FRB20180925A,25/9/2018 12:43,58386.53006,CHIME,59:43.2,+77:59:24,134.27,21.03,800.2,236.2,1,14.75,9,11.3,https://www.chime-frb.ca/catalog/FRB20180925A,0.1859,-,13.2,15.6,3.23,,,800.2,400.2
148,FRB20180925B,25/9/2018 17:26,58386.72708,CHIME,41:48.0,+20:59:24,210.2,46.6,479.6,668,0.8,5.9,3,12,https://www.chime-frb.ca/catalog/FRB20180925B,0.6397,-,12.6,5.34,1.62,,,606.9,400.2
149,FRB20180928A,28/9/2018 4:24,58389.1837,CHIME,51:48.0,+30:51:00,74.27,-8.56,400.2,250.7,1.3,2.95,3,37.7,https://www.chime-frb.ca/catalog/FRB20180928A,0.1603,-,2.4,3.18,1.62,,,492.1,400.2
150,FRB20181012B,12/10/2018 20:22,58403.84892,CHIME,45:19.2,+64:09:00,113.45,52.02,428.3,713.3,0.5,3.93,1.4,11.8,https://www.chime-frb.ca/catalog/FRB20181012B,0.6838,-,12.6,3.9,1.62,,,483.9,400.2
151,FRB20181013A,13/10/2018 0:04,58404.00313,CHIME,31:19.2,+38:24:36,63.27,31.46,443.7,308.9,2.8,0.98,4,25.6,https://www.chime-frb.ca/catalog/FRB20181013A,0.299,-,10.8,10.8,1.62,,,800.2,400.2
152,FRB20181013B,13/10/2018 12:57,58404.54019,CHIME,28:43.2,+52:02:24,162.93,17.79,400.2,284.7,0.6,119.93,20,11.7,https://www.chime-frb.ca/catalog/FRB20181013B,0.2098,-,13.8,13.2,25.88,,,790.4,400.2
153,FRB20181013C,13/10/2018 16:19,58404.67999,CHIME,44:16.8,+34:06:00,191.21,49.49,400.2,1004.5,0.4,4.92,1.6,12.6,https://www.chime-frb.ca/catalog/FRB20181013C,0.9489,-,13.8,13.8,1.62,,,698,400.2
154,FRB20181013E,13/10/2018 2:56,58404.12249,CHIME,29:07.2,+69:01:12,102.99,17.11,400.2,344.5,0.6,2.95,2,10.7,https://www.chime-frb.ca/catalog/FRB20181013E,0.2845,-,13.8,15,1.62,,,623,400.2
155,FRB20181014A,14/10/2018 9:39,58405.40264,CHIME,04:02.4,+63:19:48,137.52,4.39,800.2,1311.8,1,5.9,3,18.2,https://www.chime-frb.ca/catalog/FRB20181014A,0.9822,-,13.2,12,1.62,,,800.2,456
156,FRB20181014B,14/10/2018 11:45,58405.48995,CHIME,14:14.4,+14:39:36,188.2,-13.77,487.5,888,0.6,3.93,1.9,20.9,https://www.chime-frb.ca/catalog/FRB20181014B,0.7293,-,6.6,12,1.62,,,800.2,400.2
157,FRB20181014C,14/10/2018 14:18,58405.59651,CHIME,51:28.8,+41:35:24,178.11,28.37,537.7,752.1,0.6,3.93,1.5,10.1,https://www.chime-frb.ca/catalog/FRB20181014C,0.6852,-,13.2,13.8,1.62,,,707.7,408.6
158,FRB20181014D,14/10/2018 20:50,58405.86838,CHIME,24:09.6,-02:55:48,343.28,52.5,624.3,376.9,8,1.97,20,13.6,https://www.chime-frb.ca/catalog/FRB20181014D,0.3761,-,12.6,21,1.62,,,800.2,400.2
159,FRB20181015A,15/10/2018 18:04,58406.75309,CHIME,43:02.4,+83:34:48,125.23,33.22,403.2,567.7,1.5,1.97,3,11.1,https://www.chime-frb.ca/catalog/FRB20181015A,0.5405,-,13.2,16.2,1.62,,,800.2,400.2
160,FRB20181016A,16/10/2018 4:16,58407.17843,UTMOST,46:20.8,-25:24:32.60,345.51,22.66,835,1982.8,10.19,8.6,87,17,https://www.wis-tns.org/object/20181016a,1.8501,-,3.95,270,2.8,,,,
161,FRB20181017A,17/10/2018 23:26,58408.97653,CHIME,05:19.2,+68:16:48,99.19,34.87,535.9,1268.1,0.7,37.36,16,12.9,https://www.chime-frb.ca/catalog/FRB20181017A,1.1824,-,12.6,13.2,25.88,,,663.5,432.9
162,FRB20181017B,17/10/2018 22:18,58408.9298,CHIME,51:02.4,+78:30:00,113.08,34.96,593.2,304.1,1.1,12.78,7,12.6,https://www.chime-frb.ca/catalog/FRB20181017B,0.2953,-,13.8,15,6.47,,,704.8,499.3
163,FRB20181017C,17/10/2018 10:24,58408.43377,UTMOST,05:54.8,-08:50:34.22,50.06,-46.88,835,239.97,36.5,2.6,95,66,https://www.wis-tns.org/object/20181017c,0.2431,-,0.41,240,0.03,,,,
164,FRB20181017D,17/10/2018 16:04,58408.6652,FAST,0:36:30,+11:19:59.80,117.06,-51.37,1250,1845.2,0.0341,1.43,0.042,14.3,https://arxiv.org/2102.10546,1.7526,-,-,-,1,,,,
165,FRB20181018A,18/10/2018 7:20,58409.30608,CHIME,08:07.2,+51:32:60,125.57,-11.24,800.2,1132.2,0.5,31.46,6,10.8,https://www.chime-frb.ca/catalog/FRB20181018A,0.97,-,13.2,13.8,6.47,,,800.2,400.2
166,FRB20181018B,18/10/2018 4:39,58409.19411,CHIME,27:16.8,+71:54:36,112.15,12.13,567.4,292.8,5,0.98,8,35.6,https://www.chime-frb.ca/catalog/FRB20181018B,0.1659,-,9.6,10.2,1.62,,,800.2,400.2
167,FRB20181018C,18/10/2018 10:42,58409.44644,CHIME,28:36.0,+37:34:12,163.67,-7.43,400.2,409.2,2,0.98,3,29.4,https://www.chime-frb.ca/catalog/FRB20181018C,0.2458,-,10.2,10.2,1.62,,,668.2,400.2
168,FRB20181019A,19/10/2018 8:13,58410.34262,CHIME,58:00.8,+65:43:00.315,130.75,4.05,685.7,346.1,0.8,8.85,10,16.2,https://www.chime-frb.ca/catalog/FRB20181019A,0.0369,-,-,-,3.23,,,800.2,555.3
169,FRB20181019A,19/10/2018 8:13,58410.34262,CHIME,58:00.8,+65:43:00.315,130.75,4.05,685.7,346.1,0.8,8.85,10,16.2,https://www.chime-frb.ca/catalog/FRB20181019A,0.0369,-,-,-,3.23,,,800.2,491.9
170,FRB20181019B,19/10/2018 8:44,58410.36427,CHIME,31:28.8,+68:10:48,132.02,7.1,460.1,723,0.7,2.95,3,11.3,https://www.chime-frb.ca/catalog/FRB20181019B,0.4881,-,13.2,14.4,1.62,,,800.2,400.2
171,FRB20181019C,19/10/2018 22:19,58410.93031,CHIME,18:48.0,+66:16:12,98.66,39.72,800.2,503,1.2,1.97,2,11.5,https://www.chime-frb.ca/catalog/FRB20181019C,0.4876,-,15,14.4,1.62,,,800.2,400.2
172,FRB20181020A,20/10/2018 3:33,58411.1484,CHIME,30:28.8,+78:49:48,113.81,19.72,400.2,1111.2,0.8,12.78,5,11.6,https://www.chime-frb.ca/catalog/FRB20181020A,0.9972,-,13.2,15,1.62,,,776.6,400.2
173,FRB20181022C,22/10/2018 3:28,58413.14446,CHIME,26:14.4,+83:48:36,128.52,30.93,443.9,528.9,0.9,3.93,3,15,https://www.chime-frb.ca/catalog/FRB20181022C,0.5005,-,12.6,18,1.62,,,664.2,400.2
174,FRB20181022D,22/10/2018 17:53,58413.74565,CHIME,56:43.2,+36:31:48,170.51,75.09,754.7,512.7,3,1.97,6,35.6,https://www.chime-frb.ca/catalog/FRB20181022D,0.5107,-,9.6,9.6,1.62,,,800.2,505.7
175,FRB20181022E,22/10/2018 20:37,58413.85935,CHIME,44:43.2,+27:07:48,39.51,64.81,443.7,286.3,0.7,2.95,2.1,15.5,https://www.chime-frb.ca/catalog/FRB20181022E,0.293,-,12.6,13.2,1.62,,,560.3,400.2
176,FRB20181025A,25/10/2018 12:51,58416.53572,CHIME,03:07.2,+64:15:00,151.67,25.47,400.2,590.4,1.5,1.97,3,18.8,https://www.chime-frb.ca/catalog/FRB20181025A,0.5405,-,12,12,1.62,,,800.2,400.2
177,FRB20181027A,27/10/2018 14:22,58418.59862,CHIME,47:36.0,-04:14:24,231.16,23.45,800.2,726.3,5,5.9,20,15.9,https://www.chime-frb.ca/catalog/FRB20181027A,0.6669,-,13.2,20.4,1.62,,,800.2,530
178,FRB20181028A,28/10/2018 10:12,58419.4254,CHIME,22:09.6,+73:37:48,137.49,17.82,483.2,181.2,1.3,33.42,23,11.7,https://www.chime-frb.ca/catalog/FRB20181028A,0.104,-,11.4,16.2,25.88,,,536.2,435.3
179,FRB20181028A,28/10/2018 10:12,58419.4254,CHIME,22:09.6,+73:37:48,137.49,17.82,483.2,181.2,1.3,33.42,23,11.7,https://www.chime-frb.ca/catalog/FRB20181028A,0.104,-,11.4,16.2,25.88,,,533.1,434.5
180,FRB20181028A,28/10/2018 10:12,58419.4254,CHIME,22:09.6,+73:37:48,137.49,17.82,483.2,181.2,1.3,33.42,23,11.7,https://www.chime-frb.ca/catalog/FRB20181028A,0.104,-,11.4,16.2,25.88,,,515.9,426.9
181,FRB20181028A,28/10/2018 10:12,58419.4254,CHIME,22:09.6,+73:37:48,137.49,17.82,483.2,181.2,1.3,33.42,23,11.7,https://www.chime-frb.ca/catalog/FRB20181028A,0.104,-,11.4,16.2,25.88,,,493.8,411.7
182,FRB20181028A,28/10/2018 10:12,58419.4254,CHIME,22:09.6,+73:37:48,137.49,17.82,483.2,181.2,1.3,33.42,23,11.7,https://www.chime-frb.ca/catalog/FRB20181028A,0.104,-,11.4,16.2,25.88,,,465.5,400.2
183,FRB20181030A,30/10/2018 4:13,58421.17585,CHIME,33:24.0,+73:47:24,133.49,40.87,703.7,101.9,4,1.97,8,11.5,https://www.chime-frb.ca/catalog/FRB20181030A,0.0891,-,10.8,18.6,1.62,,,800.2,400.2
184,FRB20181030B,30/10/2018 4:16,58421.17803,CHIME,33:24.0,+73:47:24,133.25,40.99,521.4,101.9,2,2.95,7,10.2,https://www.chime-frb.ca/catalog/FRB20181030B,0.0892,-,10.8,18.6,1.62,,,656.8,414
185,FRB20181030C,30/10/2018 2:05,58421.0872,CHIME,39:19.2,+03:59:24,49.76,-21.81,500.9,668,2,0.98,6,11.7,https://www.chime-frb.ca/catalog/FRB20181030C,0.6147,-,13.2,18,1.62,,,691.2,400.2
186,FRB20181030D,30/10/2018 10:52,58421.45284,CHIME,27:09.6,+16:04:12,188.7,-10.4,514.8,289.5,2.7,2.95,6,21.5,https://www.chime-frb.ca/catalog/FRB20181030D,0.1268,-,10.8,12.6,1.62,,,800.2,400.2
187,FRB20181030E,30/10/2018 14:25,58421.60138,CHIME,02:40.8,+08:53:24,268.84,53.18,470.5,158.5,2,5.9,6,24.3,https://www.chime-frb.ca/catalog/FRB20181030E,0.1588,-,0.72,11.4,3.23,,,564.8,400.2
188,FRB20181101A,1/11/2018 6:43,58423.28046,CHIME,25:02.4,+53:52:48,127.91,-8.67,497.4,1468.7,0.5,30.47,11,14.1,https://www.chime-frb.ca/catalog/FRB20181101A,1.2477,-,0.66,9.6,12.94,,,636.8,400.2
189,FRB20181102A,2/11/2018 11:03,58424.46083,CHIME,48:52.8,+15:37:48,191.85,-6.18,800.2,415.7,1.5,0.98,2.5,11.9,https://www.chime-frb.ca/catalog/FRB20181102A,0.1977,-,13.2,16.2,1.62,,,800.2,400.2
190,FRB20181104A,4/11/2018 6:57,58426.2898,CHIME,58:00.8,+65:43:00.315,128.23,3.39,534,347.8,1.5,2.95,5,17.9,https://www.chime-frb.ca/catalog/FRB20181104A,-,-,-,-,1.62,,,616.5,462.5
191,FRB20181104B,4/11/2018 7:07,58426.29655,CHIME,58:00.8,+65:43:00.315,129.62,3.72,431.3,342.9,0.3,21.63,4,10.6,https://www.chime-frb.ca/catalog/FRB20181104B,-,-,-,-,6.47,,,528.3,400.2
192,FRB20181104C,4/11/2018 10:15,58426.42716,CHIME,08:12.0,+17:26:24,184.97,-13.46,547.6,580.7,10,0.98,21,62.2,https://www.chime-frb.ca/catalog/FRB20181104C,0.4504,-,8.4,9,1.62,,,800.2,400.2
193,FRB20181104C,4/11/2018 10:15,58426.42716,CHIME,08:12.0,+17:26:24,184.97,-13.46,547.6,580.7,10,0.98,21,62.2,https://www.chime-frb.ca/catalog/FRB20181104C,0.4504,-,8.4,9,1.62,,,800.2,400.2
194,FRB20181112A,12/11/2018 17:31,58434.73004,ASKAP,49:23.6,-52:58:15.39,342.6,-47.7,1272.5,589.27,-,2.1,26,19.3,https://www.wis-tns.org/object/20181112a,0.5705,0.4755,0.03,0.01,0.03,,,,
195,FRB20181115A,15/11/2018 13:54,58437.57984,CHIME,31:55.2,+56:23:60,161.8,37.74,468.8,981.8,0.4,4.92,1.9,18.8,https://www.chime-frb.ca/catalog/FRB20181115A,0.9181,-,2.34,10.8,1.62,,,568.4,400.2
196,FRB20181116A,16/11/2018 6:44,58438.28122,CHIME,24:12.0,+04:31:12,161.59,-51.02,445.8,354.2,4,1.97,5.2,25.3,https://www.chime-frb.ca/catalog/FRB20181116A,0.3519,-,2.58,13.8,1.62,,,704.7,400.2
197,FRB20181116B,16/11/2018 19:45,58438.82355,CHIME,30:38.4,+64:56:24,100.71,44.57,400.2,409.2,0.7,3.93,1.9,16,https://www.chime-frb.ca/catalog/FRB20181116B,0.4041,-,12,3.36,1.62,,,505.5,400.2
198,FRB20181117A,17/11/2018 14:01,58439.58445,CHIME,50:55.2,+52:30:36,163.13,48.08,800.2,960.8,0.6,5.9,3,12.2,https://www.chime-frb.ca/catalog/FRB20181117A,0.9093,-,13.2,13.2,3.23,,,800.2,400.2
199,FRB20181117B,17/11/2018 21:30,58439.89635,CHIME,24:21.6,+79:59:24,133.14,23.07,536.4,540.2,4,7.86,11,17.1,https://www.chime-frb.ca/catalog/FRB20181117B,0.4892,-,11.4,5.94,3.23,,,800.2,400.2
200,FRB20181117B,17/11/2018 21:30,58439.89635,CHIME,24:21.6,+79:59:24,133.14,23.07,536.4,540.2,4,7.86,11,17.1,https://www.chime-frb.ca/catalog/FRB20181117B,0.4892,-,11.4,5.94,3.23,,,630.4,400.2
201,FRB20181117C,17/11/2018 7:48,58439.32554,CHIME,32:50.4,+25:43:48,162.73,-24.42,676.5,1776,1.6,3.93,3,28.3,https://www.chime-frb.ca/catalog/FRB20181117C,1.6407,-,10.2,10.8,3.23,,,800.2,541.2
202,FRB20181118A,18/11/2018 5:36,58440.23379,CHIME,22:36.0,-06:24:36,144.13,-67.98,630.1,558,4,3.93,10,10.8,https://www.chime-frb.ca/catalog/FRB20181118A,0.5488,-,13.8,24,1.62,,,800.2,400.2
203,FRB20181118B,18/11/2018 8:03,58440.3358,CHIME,53:07.2,+10:47:24,178.46,-31.85,534.8,422.2,0.8,3.93,3,18.1,https://www.chime-frb.ca/catalog/FRB20181118B,0.3894,-,11.4,15.6,1.62,,,800.2,400.2
204,FRB20181118C,18/11/2018 8:44,58440.36446,CHIME,22:09.6,+73:37:48,136.44,16.56,508.7,187.6,0.3,8.85,1.7,10.3,https://www.chime-frb.ca/catalog/FRB20181118C,0.1004,-,11.4,16.2,6.47,,,570.7,453.4
205,FRB20181118D,18/11/2018 21:07,58440.87765,FAST,7:56:42,+16:08:56.70,205.24,21.53,1200,1187.7,0.0142,5.3,0.064,11.1,https://arxiv.org/2102.10546,1.0594,-,-,-,3.3,,,,
206,FRB20181119A,19/11/2018 16:49,58441.70073,CHIME,42:07.2,+65:07:48,124.77,51.96,498,368.8,0.3,20.64,4,11.1,https://www.chime-frb.ca/catalog/FRB20181119A,0.3697,-,7.8,13.8,6.47,,,568.1,436.5
207,FRB20181119B,19/11/2018 0:05,58441.00348,CHIME,57:31.2,+31:07:12,67.78,1.06,536.4,608.2,5,22.61,90,49.9,https://www.chime-frb.ca/catalog/FRB20181119B,0.1323,-,9,7.8,12.94,,,800.2,400.2
208,FRB20181119C,19/11/2018 17:06,58441.71284,CHIME,40:24.0,+82:09:36,123.47,34.95,400.2,283.1,3,0.98,3,27,https://www.chime-frb.ca/catalog/FRB20181119C,0.2746,-,10.2,12.6,1.62,,,657.7,400.2
209,FRB20181119D,19/11/2018 9:38,58441.40188,CHIME,31:58.7,+33:08:52.588,174.89,-0.11,668.9,595.2,0.5,36.37,13,23.7,https://www.chime-frb.ca/catalog/FRB20181119D,0.335,-,-,-,25.88,,,800.2,548.9
210,FRB20181119D,19/11/2018 9:38,58441.40188,CHIME,31:58.7,+33:08:52.588,174.89,-0.11,668.9,595.2,0.5,36.37,13,23.7,https://www.chime-frb.ca/catalog/FRB20181119D,0.335,-,-,-,25.88,,,746,530.7
211,FRB20181119D,19/11/2018 9:38,58441.40188,CHIME,31:58.7,+33:08:52.588,174.89,-0.11,668.9,595.2,0.5,36.37,13,23.7,https://www.chime-frb.ca/catalog/FRB20181119D,0.335,-,-,-,25.88,,,684.6,503.6
212,FRB20181119E,19/11/2018 5:15,58441.21925,CHIME,05:26.4,+60:31:48,124.67,-2.29,425.3,1169.5,0.7,2.95,2,11.2,https://www.chime-frb.ca/catalog/FRB20181119E,0.8719,-,13.2,13.8,1.62,,,800.2,400.2
213,FRB20181120A,20/11/2018 5:56,58442.24729,CHIME,45:00.0,+65:43:48.00,128.4,3.43,600,351,-,-,-,13.37,https://www.wis-tns.org/object/20181120a,0.0257,-,-,-,1.62,,,,
214,FRB20181120B,20/11/2018 5:56,58442.24729,CHIME,58:00.8,+65:43:00.315,129.62,3.72,653.5,351,1,3.93,2.7,13.4,https://www.chime-frb.ca/catalog/FRB20181120B,0.0338,-,-,-,1.62,,,800.2,486
215,FRB20181120C,20/11/2018 8:25,58442.35102,CHIME,22:09.6,+73:37:48,136.43,16.59,692.9,190.9,0.4,7.86,4,10.6,https://www.chime-frb.ca/catalog/FRB20181120C,0.1043,-,11.4,16.2,3.23,,,800.2,537
216,FRB20181122A,22/11/2018 7:52,58444.32791,CHIME,00:09.6,+55:28:48,147.51,1.89,400.2,661.6,0.5,2.95,1.4,12.2,https://www.chime-frb.ca/catalog/FRB20181122A,0.3881,-,13.2,13.2,1.62,,,661.4,400.2
217,FRB20181122B,22/11/2018 10:17,58444.42905,CHIME,44:19.2,+85:01:12,117.36,26.94,480.7,224.8,15,0.98,20,64.9,https://www.chime-frb.ca/catalog/FRB20181122B,0.2023,-,9.6,5.28,1.62,,,729.1,400.2
218,FRB20181123A,23/11/2018 23:51,58445.9943,CHIME,03:02.4,+55:52:12,89.52,13.28,488.5,797.4,1,1.97,3,17,https://www.chime-frb.ca/catalog/FRB20181123A,0.6804,-,1.38,10.8,1.62,,,590.2,404.2
219,FRB20181123B,23/11/2018 17:49,58445.74247,FAST,06:06.8,+18:09:35.70,184.06,-13.47,1250,1812,0.065,1.05,0.2,-,https://www.wis-tns.org/object/20181123b,1.5951,-,3,3,2,,,,
220,FRB20181124A,24/11/2018 15:29,58446.64522,CHIME,43:55.2,+63:31:12,135.09,51.98,674.9,1108,0.7,4.92,3,10.4,https://www.chime-frb.ca/catalog/FRB20181124A,1.0435,-,13.2,14.4,1.62,,,800.2,400.2
