,frb,utc,mjd,telescope,ra,dec,l,b,frequency,dm,flux,width,fluence,snr,reference,redshift,redshift_measured,ra_error,dec_error,dm_error,raw,notes,high_freq,low_freq
22,FRB20131030A,30/10/2013 16:13,56595.67587,LPA,25:00.0,+39:58:48.00,117.45,-22.61,111,203,0.24,530,800,10.1,https://www.wis-tns.org/object/20131030a,0.1739,-,-,-,4,,,,
23,FRB20131104A,4/11/2013 18:04,56600.75291,Parkes,44:10.0,-51:16:40.00,260.56,-21.93,1352,779,1.12,2.08,2.33,30,https://www.wis-tns.org/object/20131104a,0.5692,-,7.5,7.5,1,,,,
24,FRB20140212A,12/2/2014 10:31,56700.43836,LPA,31:00.0,+30:32:24.00,132.93,-31.56,111,910,0.26,390,945,9.2,https://www.wis-tns.org/object/20140212a,0.8491,-,-,-,4,,,,
25,FRB20140514A,14/5/2014 17:14,56791.71818,Parkes,34:06.0,-12:18:46.00,50.84,-54.61,1352,562.7,0.471,2.8,1.32,16,https://www.wis-tns.org/object/20140514a,0.5505,-,7.5,7.5,0.6,https://data-portal.hpc.swin.edu.au/dataset/fast-radio-burst-data-frb-140514,,,
26,FRB20141113A,13/11/2014 7:42,56974.32147,Arecibo,13:00.1,+18:47:11.20,191.91,0.36,1375,400.3,0.039,2,0.078,8.4,https://www.wis-tns.org/object/20141113a,0.1274,-,1.75,1.75,-,,,,
27,FRB20141216A,16/12/2014 13:03,57007.54403,LPA,14:00.0,+41:38:24.00,115.47,-20.69,111,545,0.23,870,1200,7.6,https://www.wis-tns.org/object/20141216a,0.4989,-,-,-,5,,,,
28,FRB20150215A,15/2/2015 20:41,57068.86229,Parkes,17:27.0,-04:54:15.00,24.66,5.28,1352,1105.6,0.7,2.88,2.02,19,https://www.wis-tns.org/object/20150215a,0.7984,-,7.5,7.5,0.8,https://data-portal.hpc.swin.edu.au/dataset/fast-radio-burst-data-frb-150215,,,
29,FRB20150418A,18/4/2015 4:29,57130.18688,Parkes,16:35.0,-19:00:40.00,232.67,-3.23,1352,776.2,2.2,0.8,1.76,39,https://www.wis-tns.org/object/20150418a,0.4691,-,7.5,7.5,0.5,,,,
30,FRB20150517A,17/5/2015 17:42,57159.7376,Arecibo,32:01.0,+33:07:56.00,174.9,-0.22,1375,560,0.03,3.8,-,-,https://www.wis-tns.org/object/20150517a,0.3015,0.19273,1.75,1.75,4,,,,
31,FRB20150517B,17/5/2015 17:51,57159.74422,Arecibo,32:01.0,+33:07:56.00,174.9,-0.22,1375,566,0.03,3.3,-,-,https://www.wis-tns.org/object/20150517b,0.307,0.19273,1.75,1.75,10,,,,
